Question ID, Stage of Injury, Original Question                                                           , Prompt Inserted into LLM                                                                                                                                             , LLM Response             , Date of LLM Response Entry, Table?, 
Q001       , ICU/Acute      , What is a spinal cord injury?                                               , I just suffered a spinal cord injury and I am in the hospital. What is a spinal cord injury?                                                                         , Q001_E1_R0_S0_V0_GAIO.txt, 7/7/2025                  , No    , 
Q002       , ICU/Acute      , What is the difference between complete and incomplete spinal cord injuries?, I just suffered a spinal cord injury and I am in the hospital. What is the difference between complete and incomplete spinal cord injuries?                          , Q002_E1_R0_S0_V0_GAIO.txt, 7/7/2025                  , Yes   , 
Q003       , ICU/Acute      , How long will I be in the hospital/rehabilitation center?                   , I just suffered a spinal cord injury and I am in the hospital. How long will I be in the hospital/rehabilitation center?                                             , Q003_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q004       , ICU/Acute      , What immediate interventions can I expect?                                  , I just suffered a spinal cord injury and I am in the hospital. What immediate interventions can I expect?                                                            , Q004_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q005       , ICU/Acute      , Can you help me understand what my injury means?                            , I just suffered a spinal cord injury and I am in the hospital. Can you help me understand what my injury means?                                                      , No response              , 7/8/2025                  , No    , 
Q006       , ICU/Acute      , How might my health be impacted?                                            , I just suffered a spinal cord injury and I am in the hospital. How might my health be impacted?                                                                      , Q006_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q007       , ICU/Acute      , How do I choose a Rehabilitation Center?                                    , I just suffered a spinal cord injury and I am in the hospital. How do I choose a Rehabilitation Center?                                                              , No response              , 7/8/2025                  , No    , 
Q008       , ICU/Acute      , I have no health insurance; how can I get care?                             , I just suffered a spinal cord injury and I am in the hospital. I have no health insurance; how can I get care?                                                       , No response              , 7/8/2025                  , No    , 
Q009       , ICU/Acute      , Are there any new treatments or research developments I should know about?  , I just suffered a spinal cord injury and I am in the hospital. Are there any new treatments or research developments I should know about?                            , Q009_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q010       , ICU/Acute      , Will I ever regain sensation or movement?                                   , I just suffered a spinal cord injury and I am in the hospital. Will I ever regain sensation or movement?                                                             , Q010_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q011       , ICU/Acute      , How do I tell my family and friends about my injury?                        , I just suffered a spinal cord injury and I am in the hospital. How do I tell my family and friends about my injury?                                                  , Q011_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q012       , ICU/Acute      , What is spinal shock and how long will it last?                             , I just suffered a spinal cord injury and I am in the hospital. What is spinal shock and how long will it last?                                                       , Q012_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q013       , ICU/Acute      , How soon can I start rehabilitation?                                        , I just suffered a spinal cord injury and I am in the hospital. How soon can I start rehabilitation?                                                                  , Q013_E1_R0_S0_V0_GAIO    , 7/8/2025                  , No    , 
Q014       , ICU/Acute      , What can I expect during my hospital stay?                                  , I just suffered a spinal cord injury and I am in the hospital. What can I expect during my hospital stay?                                                            , Q014_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q015       , ICU/Acute      , Is this permanent?                                                          , I just suffered a spinal cord injury and I am in the hospital. Is this permanent?                                                                                    , Q015_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q016       , Subacute/Rehab , How will my injury affect my bladder and bowel control?                     , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will my injury affect my bladder and bowel control?                         , Q016_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q017       , Subacute/Rehab , Are there clinical trials I can qualify for?                                , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. Are there clinical trials I can qualify for?                                    , Q017_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q018       , Subacute/Rehab , How can I locate funding for rehabilitation and equipment?                  , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How can I locate funding for rehabilitation and equipment?                      , Q018_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q019       , Subacute/Rehab , What are the risks of secondary complications?                              , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What are the risks of secondary complications?                                  , Q019_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q020       , Subacute/Rehab , How will this injury affect my sexual function?                             , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will this injury affect my sexual function?                                 , No response              , 7/8/2025                  , No    , 
Q021       , Subacute/Rehab , How will my injury impact my mental health?                                 , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will my injury impact my mental health?                                     , Q021_E1_R0_S0_V0_GAIO.txt, 7/8/2025                  , No    , 
Q022       , Subacute/Rehab , How do I manage chronic pain?                                               , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I manage chronic pain?                                                   , Q022_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q023       , Subacute/Rehab , What are the signs of autonomic dysreflexia and how do I manage it?         , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What are the signs of autonomic dysreflexia and how do I manage it?             , Q023_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q024       , Subacute/Rehab , What role does family support play in my recovery?                          , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What role does family support play in my recovery?                              , Q024_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q025       , Subacute/Rehab , How do I manage my energy levels and avoid fatigue?                         , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I manage my energy levels and avoid fatigue?                             , Q025_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q026       , Subacute/Rehab , How will my daily routine change?                                           , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will my daily routine change?                                               , Q026_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q027       , Subacute/Rehab , How do I manage my relationship with my partner? family? childen? friends?  , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How do I manage my relationship with my partner? family? children? friends?     , Q027_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q028       , Subacute/Rehab , What kind of support will I need at home?                                   , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What kind of support will I need at home?                                       , Q028_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q029       , Subacute/Rehab , How will this injury affect my life expectancy?                             , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How will this injury affect my life expectancy?                                 , Q029_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q030       , Subacute/Rehab , What should I do if I experience severe pain or new symptoms?               , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. What should I do if I experience severe pain or new symptoms?                   , Q030_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
Q031       , Subacute/Rehab , How can I prevent pressure sores?                                           , I have recently been diagnosed with a spinal cord injury and I am in rehabilitation. How can I prevent pressure sores?                                               , Q031_E1_R0_S0_V0_GAIO.txt, 7/9/2025                  , No    , 
